TimeStamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1.59111970196507e+15,-2,-1,12,6,-3,-3,-4,-10
1.59111970196707e+15,0,-3,-20,-7,0,0,2,0
1.59111970196707e+15,0,2,13,-1,-2,-2,0,1
1.59111970197838e+15,9,11,42,10,2,2,2,3
1.59111970197838e+15,2,1,2,6,-1,-1,0,-1
1.59111970198747e+15,1,-6,-19,-12,-5,-5,-4,-4
1.59111970198747e+15,-8,-5,-31,-4,1,1,0,0
1.59111970200185e+15,-6,-1,-6,3,0,0,-1,0
1.59111970200185e+15,-8,-4,-10,-9,-1,-1,0,-2
1.59111970200894e+15,-4,-12,-79,-3,0,0,0,0
1.59111970200894e+15,-8,7,56,10,-3,-3,0,-7
1.5911197020251e+15,2,2,9,6,-1,-1,-1,-1
1.5911197020251e+15,0,-0,24,-18,-2,-2,-1,-1
1.5911197020261e+15,5,1,-10,3,1,1,1,5
1.5911197020261e+15,-8,-4,14,-4,-7,-7,-7,-6
1.59111970204699e+15,1,-4,-20,-3,0,0,-2,0
1.59111970204699e+15,-12,-12,-55,1,0,0,-4,-15
1.59111970204899e+15,-1,-7,-39,-13,-2,-2,-1,8
1.59111970204899e+15,6,3,7,-2,1,1,-1,1
1.591119702061e+15,-5,-5,-11,-7,-4,-4,-2,-4
1.591119702061e+15,3,8,44,5,1,1,0,-2
1.59111970206993e+15,2,-11,-58,-7,-5,-5,-2,-5
1.59111970206993e+15,6,14,81,9,-4,-4,-1,9
1.59111970208533e+15,0,3,13,4,1,1,2,-4
1.59111970208533e+15,3,3,9,0,-2,-2,1,3
1.59111970208672e+15,6,-5,-62,4,5,5,5,-2
1.59111970208672e+15,-17,-1,45,-9,-6,-6,-5,-7
1.59111970209876e+15,5,1,-2,5,1,1,-2,1
1.59111970209876e+15,3,-1,-9,2,-3,-3,-2,2
1.59111970210728e+15,-2,11,79,1,-1,-1,-1,-1
1.59111970210728e+15,8,-6,-60,-5,3,3,3,0
1.59111970212183e+15,-5,-19,-110,-12,-2,-2,-2,-1
