TimeStamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1.59101201211211e+15,-2,-3,1,-2,-3,-3,-6,-8
1.59101201211211e+15,0,1,-2,-1,-1,-1,4,1
1.59101201211308e+15,2,2,0,0,0,0,2,6
1.59101201211308e+15,-1,-1,-2,0,-4,-4,-3,-2
1.59101201213506e+15,-2,-0,-2,-1,0,0,-1,0
1.59101201213506e+15,-3,-1,-1,0,-2,-2,-2,-2
1.59101201213506e+15,-1,-1,-1,0,-3,-3,-1,-3
1.59101201213506e+15,1,1,0,-1,-1,-1,3,0
1.59101201215721e+15,-1,-3,-1,-2,-1,-1,-5,-7
1.59101201215721e+15,0,-0,-1,-3,-1,-1,1,1
1.59101201215796e+15,-3,-1,-1,1,-2,-2,-2,-3
1.59101201215796e+15,0,-0,0,-1,-2,-2,0,3
1.59101201217271e+15,-2,-1,0,-2,-1,-1,1,-1
1.59101201217271e+15,0,-0,0,-1,-1,-1,-1,0
1.59101201217271e+15,0,-1,-1,-2,0,0,-1,-1
1.59101201217271e+15,0,-0,-2,-1,0,0,0,-2
1.59101201219465e+15,-1,-1,-2,0,-2,-2,-1,-4
1.59101201219465e+15,-1,-0,0,0,-2,-2,1,4
1.59101201219565e+15,-2,-1,-1,-1,1,1,-3,-6
1.59101201219565e+15,1,2,-2,-1,0,0,5,5
1.59101201222564e+15,-3,-2,-2,-1,-2,-2,-5,-1
1.59101201222564e+15,2,-3,-2,-5,-3,-3,-5,-7
1.59101201222657e+15,-1,1,1,0,0,0,4,1
1.59101201222657e+15,-3,-3,-3,-2,-2,-2,-7,-7
1.59101201223262e+15,-1,-0,-1,0,-1,-1,-2,2
1.59101201223262e+15,-1,-0,-1,0,-1,-1,1,0
1.59101201223262e+15,-1,-0,0,-1,-2,-2,-3,0
1.59101201223262e+15,-2,-1,-2,0,-1,-1,-1,-3
1.59101201225455e+15,0,-0,-2,-2,0,0,2,-3
1.59101201225455e+15,-2,-0,-1,-1,0,0,0,-3
1.59101201225549e+15,-1,-0,1,0,-1,-1,-1,-4
1.59101201225549e+15,0,1,-2,0,-3,-3,3,7
1.59101201227746e+15,-2,-0,-1,-2,-1,-1,-1,1
1.59101201227746e+15,-2,-0,-2,0,1,1,0,-1
1.59101201227843e+15,-1,-0,-1,0,-1,-1,1,1
1.59101201227843e+15,-2,1,0,-1,1,1,-1,2
1.59101201229144e+15,-2,-1,-1,0,-2,-2,-1,-4
1.59101201229144e+15,1,-0,0,-2,-3,-3,-1,1
1.59101201229942e+15,-2,-0,-1,-1,-1,-1,0,-1
1.59101201229942e+15,0,-0,1,-1,0,0,-2,-4
1.59101201231437e+15,1,-0,-3,-2,-1,-1,0,0
1.59101201231437e+15,-2,-1,-2,-1,1,1,-2,-1
1.59101201231533e+15,0,-2,-2,-3,-1,-1,-3,-6
1.59101201231533e+15,-3,-1,-2,-2,-3,-3,1,-1
1.59101201233727e+15,-1,-0,-2,-1,0,0,0,1
1.59101201233727e+15,-3,-2,-1,1,1,1,-3,-6
1.59101201233827e+15,-1,1,-2,-1,0,0,3,4
1.59101201233827e+15,0,-1,-1,-3,-2,-2,-6,-1
1.59101201235128e+15,-2,-1,-2,-1,-2,-2,-3,-4
1.59101201235128e+15,-1,-1,-2,-1,-3,-3,-2,-3
1.59101201236048e+15,0,-0,-1,-1,0,0,2,1
1.59101201236048e+15,-3,-1,-1,-2,0,0,-2,-4
1.59101201237517e+15,-1,-1,-1,-2,-2,-2,-1,1
1.59101201237517e+15,0,-0,-1,-2,-1,-1,1,0
1.59101201237517e+15,1,-1,-1,0,-2,-2,-2,-4
1.59101201237517e+15,-1,-0,-2,1,0,0,-1,-3
1.59101201239731e+15,0,-0,-1,-1,-1,-1,0,-1
1.59101201239731e+15,-1,1,1,1,-1,-1,0,-3
1.59101201239811e+15,0,-0,-1,-2,-1,-1,-1,0
1.59101201239811e+15,-2,-2,-2,-1,-2,-2,-2,-4
1.59101201241111e+15,0,-0,0,0,-2,-2,2,2
1.59101201241111e+15,-3,-1,-1,0,-1,-1,-2,-2
1.59101201242009e+15,-1,1,-2,-2,0,0,3,6
1.59101201242009e+15,1,2,0,0,2,2,3,2
1.59101201243507e+15,-3,-1,0,0,-2,-2,-4,-1
1.59101201243507e+15,-2,-2,-2,-2,-3,-3,-3,-1
1.59101201243507e+15,1,1,-1,0,0,0,1,1
1.59101201243507e+15,-1,-0,1,-1,-2,-2,-3,1
1.59101201245702e+15,1,-0,-3,-1,0,0,1,0
1.59101201245702e+15,0,-0,1,-1,-1,-1,-1,1
1.59101201245795e+15,-2,-2,-1,-1,0,0,-4,-3
1.59101201245795e+15,-2,-1,-1,-3,-3,-3,0,2
1.59101201247197e+15,-1,-0,-1,0,0,0,0,-2
1.59101201247197e+15,0,-0,-1,-2,0,0,0,-1
1.59101201247997e+15,-2,-1,-1,0,-2,-2,-4,-1
1.59101201247997e+15,-1,-1,-1,-1,-2,-2,-2,-2
1.59101201249485e+15,-1,-1,0,-1,-4,-4,-3,-1
1.59101201249485e+15,0,-0,-1,-2,-1,-1,1,2
1.59101201249584e+15,-2,-2,-3,-3,0,0,-6,-5
1.59101201249584e+15,2,1,0,1,1,1,2,-2
1.591012012526e+15,-1,-2,-2,-2,0,0,-4,-7
1.591012012526e+15,-2,-0,0,0,0,0,0,-1
1.591012012526e+15,-2,-1,-1,-3,1,1,0,-6
